Country,Year,Area Code (M49),Element Code,Year Code,Value
Russia,2000,643.0,5407.598101265823,2000.0,1571479.3515822785
Russia,2001,643.0,5407.598101265823,2001.0,1605659.7600949367
Russia,2002,643.0,5407.625786163522,2002.0,1617779.8963836478
Russia,2003,643.0,5407.646875,2003.0,1582918.5541875
Russia,2004,643.0,5407.660436137072,2004.0,1616543.181495327
Russia,2005,643.0,5407.660436137072,2005.0,1587938.1080685358
Russia,2006,643.0,5407.660436137072,2006.0,1631351.2050778815
Russia,2007,643.0,5407.660436137072,2007.0,1677952.942834891
Russia,2008,643.0,5407.660436137072,2008.0,1825209.4998753895
Russia,2009,643.0,5407.673913043478,2009.0,1796627.7983540373
Russia,2010,643.0,5407.990712074304,2010.0,1614096.4512693498
Russia,2011,643.0,5407.990712074304,2011.0,1900209.2684829722
Russia,2012,643.0,5407.990712074304,2012.0,1820910.1713312694
Russia,2013,643.0,5407.978260869565,2013.0,1932745.3870496894
Russia,2014,643.0,5408.3435582822085,2014.0,1974264.6852760736
Russia,2015,643.0,5408.3435582822085,2015.0,2024012.798619632
Russia,2016,643.0,5408.684848484849,2016.0,2092295.015181818
Russia,2017,643.0,5408.684848484849,2017.0,2162798.2027575755
Russia,2018,643.0,5408.684848484849,2018.0,2101204.608909091
Russia,2019,643.0,5408.684848484849,2019.0,2190835.305181818
Russia,2020,643.0,5408.694864048339,2020.0,2180091.7094561933
Russia,2021,643.0,5408.694864048339,2021.0,2168166.7762839883
Russia,2022,643.0,5408.694864048339,2022.0,2348815.8974018125
Russia,2023,643.0,5399.6973684210525,2023.0,2433095.239375
Saudi Arabia,2000,682.0,5405.3311258278145,2000.0,344433.29357615893
Saudi Arabia,2001,682.0,5405.3311258278145,2001.0,354337.06668874173
Saudi Arabia,2002,682.0,5405.3311258278145,2002.0,353354.7998013245
Saudi Arabia,2003,682.0,5405.3311258278145,2003.0,359380.88907284767
Saudi Arabia,2004,682.0,5405.3311258278145,2004.0,381646.83509933774
Saudi Arabia,2005,682.0,5405.3311258278145,2005.0,394206.17543046357
Saudi Arabia,2006,682.0,5405.3311258278145,2006.0,375608.50841059606
Saudi Arabia,2007,682.0,5405.3311258278145,2007.0,379200.05900662247
Saudi Arabia,2008,682.0,5405.3311258278145,2008.0,338359.8154304636
Saudi Arabia,2009,682.0,5405.3311258278145,2009.0,315170.04026490066
Saudi Arabia,2010,682.0,5406.019736842105,2010.0,360356.79210526316
Saudi Arabia,2011,682.0,5405.953333333333,2011.0,413042.6402
Saudi Arabia,2012,682.0,5405.953333333333,2012.0,415327.29099999997
Saudi Arabia,2013,682.0,5405.953333333333,2013.0,442636.0978666667
Saudi Arabia,2014,682.0,5408.032258064516,2014.0,390615.73916129034
Saudi Arabia,2015,682.0,5408.032258064516,2015.0,402742.18419354834
Saudi Arabia,2016,682.0,5408.070063694267,2016.0,402999.5273248408
Saudi Arabia,2017,682.0,5408.426136363636,2017.0,365807.19426136365
Saudi Arabia,2018,682.0,5408.474860335195,2018.0,370772.2075418994
Saudi Arabia,2019,682.0,5407.972527472528,2019.0,425997.9289560439
Saudi Arabia,2020,682.0,5408.219387755102,2020.0,522683.4539285714
Saudi Arabia,2021,682.0,5408.7360406091375,2021.0,503830.494822335
Saudi Arabia,2022,682.0,5408.7360406091375,2022.0,474421.1898984771
Saudi Arabia,2023,682.0,5400.9890710382515,2023.0,535538.4042622951
Spain,2000,724.0,5413.083333333333,2000.0,914541.8494907408
Spain,2001,724.0,5412.8498845265585,2001.0,904879.0147806004
Spain,2002,724.0,5412.8498845265585,2002.0,931450.2724942263
Spain,2003,724.0,5412.8498845265585,2003.0,945322.0581293303
Spain,2004,724.0,5412.8498845265585,2004.0,942234.97147806
Spain,2005,724.0,5412.8498845265585,2005.0,899866.8253348729
Spain,2006,724.0,5412.847926267281,2006.0,909679.4353225806
Spain,2007,724.0,5412.8498845265585,2007.0,917002.1853117783
Spain,2008,724.0,5412.8498845265585,2008.0,872883.6898845267
Spain,2009,724.0,5412.8498845265585,2009.0,834078.4366743648
Spain,2010,724.0,5413.95444191344,2010.0,831329.1381093394
Spain,2011,724.0,5413.739130434783,2011.0,842559.9384668192
Spain,2012,724.0,5413.514874141876,2012.0,798886.0148741419
Spain,2013,724.0,5413.514874141876,2013.0,835726.7737757437
Spain,2014,724.0,5413.739130434783,2014.0,834346.0552402745
Spain,2015,724.0,5413.735159817352,2015.0,861667.453196347
Spain,2016,724.0,5413.735159817352,2016.0,902158.0958675799
Spain,2017,724.0,5413.735159817352,2017.0,890220.3497031964
Spain,2018,724.0,5416.21921921922,2018.0,1236875.5084084084
Spain,2019,724.0,5414.19877675841,2019.0,1229088.7958409786
Spain,2020,724.0,5410.546827794562,2020.0,1274641.2561027189
Spain,2021,724.0,5414.192073170731,2021.0,1306834.9250914634
Spain,2022,724.0,5413.90490797546,2022.0,1240161.652822086
Spain,2023,724.0,5402.310954063604,2023.0,1249455.3332155477
Sri Lanka,2000,144.0,5409.094170403588,2000.0,79339.47820627803
Sri Lanka,2001,144.0,5409.107142857143,2001.0,76105.69977678571
Sri Lanka,2002,144.0,5409.107142857143,2002.0,74707.84883928571
Sri Lanka,2003,144.0,5409.107142857143,2003.0,77226.84660714286
Sri Lanka,2004,144.0,5409.107142857143,2004.0,74740.15977678572
Sri Lanka,2005,144.0,5409.107142857143,2005.0,78453.76504464286
Sri Lanka,2006,144.0,5409.107142857143,2006.0,80906.80928571429
Sri Lanka,2007,144.0,5409.107142857143,2007.0,78786.86968749999
Sri Lanka,2008,144.0,5409.107142857143,2008.0,84621.48825892857
Sri Lanka,2009,144.0,5409.107142857143,2009.0,83155.9796875
Sri Lanka,2010,144.0,5411.733905579399,2010.0,90261.59660944206
Sri Lanka,2011,144.0,5411.733905579399,2011.0,88135.64364806867
Sri Lanka,2012,144.0,5411.733905579399,2012.0,92141.6096137339
Sri Lanka,2013,144.0,5411.721518987341,2013.0,96092.264092827
Sri Lanka,2014,144.0,5408.320346320346,2014.0,93294.49207792207
Sri Lanka,2015,144.0,5408.296943231441,2015.0,102274.95973799127
Sri Lanka,2016,144.0,5409.177489177489,2016.0,98430.07705627706
Sri Lanka,2017,144.0,5409.177489177489,2017.0,85453.37593073593
Sri Lanka,2018,144.0,5409.193133047211,2018.0,94757.87270386267
Sri Lanka,2019,144.0,5408.336206896552,2019.0,98521.59262931035
Sri Lanka,2020,144.0,5408.336206896552,2020.0,106352.38642241378
Sri Lanka,2021,144.0,5408.336206896552,2021.0,110382.61797413793
Sri Lanka,2022,144.0,5408.336206896552,2022.0,99356.60547413792
Sri Lanka,2023,144.0,5402.790909090909,2023.0,101345.32459090909
Sweden,2000,752.0,5414.844086021505,2000.0,206131.2789247312
Sweden,2001,752.0,5414.844086021505,2001.0,201988.66435483872
Sweden,2002,752.0,5414.844086021505,2002.0,202727.5770967742
Sweden,2003,752.0,5414.844086021505,2003.0,200015.39306451613
Sweden,2004,752.0,5414.844086021505,2004.0,203695.37849462364
Sweden,2005,752.0,5414.844086021505,2005.0,196038.26112903227
Sweden,2006,752.0,5414.844086021505,2006.0,184389.4706989247
Sweden,2007,752.0,5414.844086021505,2007.0,187159.15548387097
Sweden,2008,752.0,5414.844086021505,2008.0,188246.3130645161
Sweden,2009,752.0,5414.844086021505,2009.0,191550.5288172043
Sweden,2010,752.0,5415.856382978724,2010.0,182627.55909574468
Sweden,2011,752.0,5415.856382978724,2011.0,186596.09218085106
Sweden,2012,752.0,5415.856382978724,2012.0,182912.27388297874
